id,category,gender,price,desc
DB-288-BR,WATCHES,WOMEN,340,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-289-BK,WATCHES,WOMEN,340,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-290-BK,WATCHES,WOMEN,340,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-292-BK,WATCHES,WOMEN,280,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Black
DB-293-BK,WATCHES,WOMEN,280,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Black
DB-294-BK,WATCHES,WOMEN,280,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Black
DB-295-BK,WATCHES,WOMEN,280,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Black
DB-296-BK,WATCHES,WOMEN,280,Alloy Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Black
DB-297-BK,WATCHES,WOMEN,380,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-298-BR,WATCHES,WOMEN,380,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-299-BR,WATCHES,WOMEN,380,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-500-BK,WATCHES,WOMEN,380,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
HOB-C28,WATCHES,WOMEN,380,Brass Case ; Leather Band ; Genuine Leather ; IP Plating ; Rose Gold
DB-321-RG,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-322-BK,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-325-RG,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-326-BK,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-327-RG,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-328-RG,WATCHES,WOMEN,210,Alloy Case ; Alloy Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-501-RG,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-502-RG,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-503-RG,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-505-RG,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-506-RG,WATCHES,WOMEN,430,Brass Case ; SS Chain ; Shaffer Pattern ; IP Plating ; Rose Gold
DB-SS21-4A,WATCHES,WOMEN,450,Brass Case ; SS Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-SS21-4B,WATCHES,WOMEN,350,Brass Case ; SS Chain ; Designer Dial ; IP Plating ; IPS
DB-SS21-7A,WATCHES,WOMEN,390,Brass Case ; SS Chain ; Designer Dial ; IP Plating ; Rose Gold
DB-SS21-7B,WATCHES,WOMEN,350,Brass Case ; SS Chain ; Designer Dial ; IP Plating ; IPS
DB-SS21-7C,WATCHES,WOMEN,350,Brass Case ; SS Chain ; Designer Dial ; IP Plating ; IPS
